pickup_zone,avg_tip_percentage,bkt_total_amount,val_start,val_end
31,0.285714285714,34,279.6353252451642,316.04812892884550
88,0.285711446346,40,498.1121473472520,534.52495103093330
31,0.285711154462,38,425.2865399798894,461.69934366357070
78,0.28522991627916666,27,24.7456994593951,61.15850314307640
33,0.2840243268551667,29,97.5713068267577,133.98411051043900
8,0.283493461436,33,243.2225215614829,279.63532524516420
14,0.282656214668,33,243.2225215614829,279.63532524516420
141,0.2679024033233333,29,97.5713068267577,133.98411051043900
109,0.266515765485,28,61.1585031430764,97.57130682675770
31,0.2598643119626733,28,61.1585031430764,97.57130682675770
154,0.25811894830790627,32,206.8097178778016,243.22252156148290
12,0.256562068285,29,97.5713068267577,133.98411051043900
122,0.25,29,97.5713068267577,133.98411051043900
86,0.25,29,97.5713068267577,133.98411051043900
192,0.241964264283075,28,61.1585031430764,97.57130682675770
72,0.2376186573994,30,133.9841105104390,170.39691419412030
106,0.23666821880319996,30,133.9841105104390,170.39691419412030
61,0.23610612915924484,28,61.1585031430764,97.57130682675770
75,0.2358148080447143,31,170.3969141941203,206.80971787780160
68,0.2321190930577,29,97.5713068267577,133.98411051043900
239,0.2320196291285,39,461.6993436635707,498.11214734725200
245,0.230782134619,32,206.8097178778016,243.22252156148290
88,0.230779502587,34,279.6353252451642,316.04812892884550
5,0.230778874785,35,316.0481289288455,352.46093261252680
5,0.230769230769,37,388.8737362962081,425.28653997988940
161,0.230769230769,33,243.2225215614829,279.63532524516420
257,0.230769230769,29,97.5713068267577,133.98411051043900
55,0.230769230769,31,170.3969141941203,206.80971787780160
71,0.230769230769,37,388.8737362962081,425.28653997988940
161,0.230769230769,37,388.8737362962081,425.28653997988940
118,0.230769230769,31,170.3969141941203,206.80971787780160
34,0.230769230769,29,97.5713068267577,133.98411051043900
94,0.230769230769,34,279.6353252451642,316.04812892884550
191,0.230767961453,59,1189.9554173371967,1226.36822102087800
70,0.230767898583,58,1153.5426136535154,1189.95541733719670
70,0.230767172048,46,716.5889694493398,753.00177313302110
116,0.230764695478,35,316.0481289288455,352.46093261252680
229,0.230764685025,35,316.0481289288455,352.46093261252680
240,0.23076432715,34,279.6353252451642,316.04812892884550
65,0.23076320326,33,243.2225215614829,279.63532524516420
9,0.230761410999,31,170.3969141941203,206.80971787780160
219,0.230761121653,36,352.4609326125268,388.87373629620810
227,0.230760421438,31,170.3969141941203,206.80971787780160
