pickup_zone,avg_trip_distance,bkt_total_amount,val_start,val_end
32,21.2,32,206.8097178778016,243.22252156148290
91,21.176923076923078,29,97.5713068267577,133.98411051043900
137,21.116359223300957,29,97.5713068267577,133.98411051043900
106,21.090000000000003,31,170.3969141941203,206.80971787780160
251,21.085,30,133.9841105104390,170.39691419412030
128,20.960185185185182,29,97.5713068267577,133.98411051043900
83,20.955,28,61.1585031430764,97.57130682675770
151,20.851999999999997,28,61.1585031430764,97.57130682675770
97,20.81,30,133.9841105104390,170.39691419412030
90,20.7825,28,61.1585031430764,97.57130682675770
215,20.76,39,461.6993436635707,498.11214734725200
199,20.745,32,206.8097178778016,243.22252156148290
221,20.721666666666664,30,133.9841105104390,170.39691419412030
239,20.674229390680996,29,97.5713068267577,133.98411051043900
259,20.634999999999998,30,133.9841105104390,170.39691419412030
30,20.606666666666666,29,97.5713068267577,133.98411051043900
18,20.6,28,61.1585031430764,97.57130682675770
248,20.55,35,316.0481289288455,352.46093261252680
26,20.52,31,170.3969141941203,206.80971787780160
49,20.5,31,170.3969141941203,206.80971787780160
244,20.476666666666663,28,61.1585031430764,97.57130682675770
19,20.4,28,61.1585031430764,97.57130682675770
201,20.4,28,61.1585031430764,97.57130682675770
199,20.310000000000002,29,97.5713068267577,133.98411051043900
97,20.3,29,97.5713068267577,133.98411051043900
43,20.232499999999998,29,97.5713068267577,133.98411051043900
72,20.226,30,133.9841105104390,170.39691419412030
148,20.21,27,24.7456994593951,61.15850314307640
248,20.2,31,170.3969141941203,206.80971787780160
114,20.084603174603174,29,97.5713068267577,133.98411051043900
229,20.0,50,862.2401841840650,898.65298786774630
240,19.966112185686658,29,97.5713068267577,133.98411051043900
87,19.77611111111111,29,97.5713068267577,133.98411051043900
9,19.7,31,170.3969141941203,206.80971787780160
248,19.648235294117647,30,133.9841105104390,170.39691419412030
53,19.641250000000003,28,61.1585031430764,97.57130682675770
136,19.60818181818182,29,97.5713068267577,133.98411051043900
164,19.439448529411766,29,97.5713068267577,133.98411051043900
8,19.393880597014924,29,97.5713068267577,133.98411051043900
