pickup_zone,avg_trip_distance,bkt_passenger_count,val_start,val_end
196,6.7411111111111115,2,2.649781677329658,3.9746725159944870
257,6.71,2,2.649781677329658,3.9746725159944870
244,6.694999999999999,3,3.974672515994487,5.2995633546593160
19,6.688333333333333,1,1.324890838664829,2.6497816773296580
76,6.68,2,2.649781677329658,3.9746725159944870
223,6.65,1,1.324890838664829,2.6497816773296580
178,6.616586826347306,0,0E-15,1.3248908386648290
95,6.615,4,5.299563354659316,6.6244541933241450
34,6.59,4,5.299563354659316,6.6244541933241450
35,6.582857142857143,4,5.299563354659316,6.6244541933241450
74,6.581612903225806,2,2.649781677329658,3.9746725159944870
13,6.541636363636363,0,0E-15,1.3248908386648290
199,6.5015,4,5.299563354659316,6.6244541933241450
109,6.491250000000001,4,5.299563354659316,6.6244541933241450
57,6.4796875,0,0E-15,1.3248908386648290
91,6.467222222222222,2,2.649781677329658,3.9746725159944870
35,6.463125,2,2.649781677329658,3.9746725159944870
13,6.445,1,1.324890838664829,2.6497816773296580
74,6.413272727272727,3,3.974672515994487,5.2995633546593160
178,6.374375,3,3.974672515994487,5.2995633546593160
230,6.294883720930232,0,0E-15,1.3248908386648290
178,6.282894736842105,1,1.324890838664829,2.6497816773296580
199,6.269759036144579,3,3.974672515994487,5.2995633546593160
212,6.251818181818183,2,2.649781677329658,3.9746725159944870
102,6.2,0,0E-15,1.3248908386648290
52,6.191111111111111,3,3.974672515994487,5.2995633546593160
90,6.1,3,3.974672515994487,5.2995633546593160
133,6.085333333333334,2,2.649781677329658,3.9746725159944870
125,6.075,1,1.324890838664829,2.6497816773296580
28,6.075,4,5.299563354659316,6.6244541933241450
88,6.07,1,1.324890838664829,2.6497816773296580
184,6.058749999999999,0,0E-15,1.3248908386648290
52,6.05625,2,2.649781677329658,3.9746725159944870
77,6.04,4,5.299563354659316,6.6244541933241450
178,6.010000000000001,4,5.299563354659316,6.6244541933241450
70,6.008772102161097,1,1.324890838664829,2.6497816773296580
71,6.006571428571428,2,2.649781677329658,3.9746725159944870
199,5.97777777777778,0,0E-15,1.3248908386648290
70,5.957759197324414,2,2.649781677329658,3.9746725159944870
52,5.910714285714286,1,1.324890838664829,2.6497816773296580
212,5.903913043478262,3,3.974672515994487,5.2995633546593160
26,5.898181818181819,3,3.974672515994487,5.2995633546593160
196,5.878461538461538,4,5.299563354659316,6.6244541933241450
74,5.855384615384616,4,5.299563354659316,6.6244541933241450
216,5.83,4,5.299563354659316,6.6244541933241450
31,5.814,4,5.299563354659316,6.6244541933241450
182,5.74,1,1.324890838664829,2.6497816773296580
230,5.7225,2,2.649781677329658,3.9746725159944870
95,5.699999999999999,2,2.649781677329658,3.9746725159944870
70,5.688752598752598,0,0E-15,1.3248908386648290
129,5.688000000000001,1,1.324890838664829,2.6497816773296580
122,5.67,4,5.299563354659316,6.6244541933241450
99,5.65,2,2.649781677329658,3.9746725159944870
196,5.585981595092024,0,0E-15,1.3248908386648290
94,5.574313725490195,4,5.299563354659316,6.6244541933241450
216,5.5725,2,2.649781677329658,3.9746725159944870
133,5.549310344827587,3,3.974672515994487,5.2995633546593160
97,5.535,2,2.649781677329658,3.9746725159944870
177,5.533333333333334,1,1.324890838664829,2.6497816773296580
238,5.52,3,3.974672515994487,5.2995633546593160
69,5.516666666666667,2,2.649781677329658,3.9746725159944870
208,5.516,2,2.649781677329658,3.9746725159944870
17,5.4675,4,5.299563354659316,6.6244541933241450
53,5.465128205128205,1,1.324890838664829,2.6497816773296580
256,5.456666666666666,2,2.649781677329658,3.9746725159944870
12,5.428461538461538,0,0E-15,1.3248908386648290
63,5.420588235294118,3,3.974672515994487,5.2995633546593160
237,5.354285714285715,3,3.974672515994487,5.2995633546593160
222,5.308888888888889,3,3.974672515994487,5.2995633546593160
29,5.28,4,5.299563354659316,6.6244541933241450
53,5.276315789473685,2,2.649781677329658,3.9746725159944870
133,5.237313432835822,1,1.324890838664829,2.6497816773296580
9,5.227419354838709,3,3.974672515994487,5.2995633546593160
17,5.21,1,1.324890838664829,2.6497816773296580
17,5.1933333333333325,2,2.649781677329658,3.9746725159944870
134,5.187142857142858,3,3.974672515994487,5.2995633546593160
29,5.1659999999999995,3,3.974672515994487,5.2995633546593160
134,5.155833333333334,1,1.324890838664829,2.6497816773296580
