pickup_zone,avg_tip_amount,bkt_passenger_count,val_start,val_end
63,2.1518433179723497,0,0E-15,1.3248908386648290
-1,2.1497117152356786,1,1.324890838664829,2.6497816773296580
51,2.1427500000000004,1,1.324890838664829,2.6497816773296580
23,2.1315384615384616,2,2.649781677329658,3.9746725159944870
64,2.1131707317073167,3,3.974672515994487,5.2995633546593160
-1,2.112794069023282,0,0E-15,1.3248908386648290
220,2.108023952095808,3,3.974672515994487,5.2995633546593160
161,2.1072602739726025,2,2.649781677329658,3.9746725159944870
201,2.1060000000000003,3,3.974672515994487,5.2995633546593160
201,2.105714285714286,4,5.299563354659316,6.6244541933241450
85,2.0991977461765505,2,2.649781677329658,3.9746725159944870
228,2.0984444444444446,4,5.299563354659316,6.6244541933241450
191,2.0979831932773116,1,1.324890838664829,2.6497816773296580
71,2.0944444444444446,3,3.974672515994487,5.2995633546593160
197,2.0935135135135137,2,2.649781677329658,3.9746725159944870
52,2.0833333333333335,3,3.974672515994487,5.2995633546593160
36,2.0807962016070123,1,1.324890838664829,2.6497816773296580
215,2.08,6,7.949345031988974,9.2742358706538030
234,2.069090909090909,1,1.324890838664829,2.6497816773296580
69,2.063,1,1.324890838664829,2.6497816773296580
86,2.062434017595308,1,1.324890838664829,2.6497816773296580
178,2.052,4,5.299563354659316,6.6244541933241450
68,2.0475916988417,1,1.324890838664829,2.6497816773296580
86,2.0377647058823527,2,2.649781677329658,3.9746725159944870
152,2.0344444444444445,3,3.974672515994487,5.2995633546593160
8,2.0322352099236647,2,2.649781677329658,3.9746725159944870
212,2.0230434782608695,3,3.974672515994487,5.2995633546593160
36,2.022732026143791,3,3.974672515994487,5.2995633546593160
-1,2.021350015446402,2,2.649781677329658,3.9746725159944870
113,2.0177719033232626,1,1.324890838664829,2.6497816773296580
30,2.0093250327653984,1,1.324890838664829,2.6497816773296580
112,2.009,0,0E-15,1.3248908386648290
90,2.00875,0,0E-15,1.3248908386648290
7,2.0052173913043476,0,0E-15,1.3248908386648290
46,2.0,4,5.299563354659316,6.6244541933241450
12,2.0,0,0E-15,1.3248908386648290
12,2.0,4,5.299563354659316,6.6244541933241450
38,2.0,3,3.974672515994487,5.2995633546593160
30,1.9960287081339712,4,5.299563354659316,6.6244541933241450
57,1.991875,0,0E-15,1.3248908386648290
245,1.9886243386243394,1,1.324890838664829,2.6497816773296580
191,1.9885955056179774,4,5.299563354659316,6.6244541933241450
165,1.9849999999999999,4,5.299563354659316,6.6244541933241450
232,1.9722222222222223,3,3.974672515994487,5.2995633546593160
243,1.972,4,5.299563354659316,6.6244541933241450
220,1.9671521035598702,1,1.324890838664829,2.6497816773296580
36,1.953786191536749,2,2.649781677329658,3.9746725159944870
17,1.9533333333333334,2,2.649781677329658,3.9746725159944870
41,1.95,5,6.624454193324145,7.9493450319889740
162,1.945,4,5.299563354659316,6.6244541933241450
73,1.9422222222222223,1,1.324890838664829,2.6497816773296580
180,1.9390219780219793,1,1.324890838664829,2.6497816773296580
113,1.9386816720257234,3,3.974672515994487,5.2995633546593160
126,1.937598253275109,1,1.324890838664829,2.6497816773296580
-1,1.9180896991387968,3,3.974672515994487,5.2995633546593160
91,1.9117976031957387,0,0E-15,1.3248908386648290
133,1.9079310344827585,3,3.974672515994487,5.2995633546593160
-1,1.9054816921436182,4,5.299563354659316,6.6244541933241450
53,1.9034771573604061,0,0E-15,1.3248908386648290
245,1.9017894736842105,3,3.974672515994487,5.2995633546593160
193,1.9004411764705884,2,2.649781677329658,3.9746725159944870
97,1.8958333333333333,3,3.974672515994487,5.2995633546593160
68,1.8937224764700804,0,0E-15,1.3248908386648290
29,1.89,2,2.649781677329658,3.9746725159944870
255,1.8886666666666667,4,5.299563354659316,6.6244541933241450
135,1.8882352941176472,2,2.649781677329658,3.9746725159944870
49,1.887170474516696,1,1.324890838664829,2.6497816773296580
109,1.8868421052631579,3,3.974672515994487,5.2995633546593160
191,1.8858530245746703,0,0E-15,1.3248908386648290
62,1.8804347826086953,0,0E-15,1.3248908386648290
235,1.8793303427155925,0,0E-15,1.3248908386648290
64,1.8778571428571424,1,1.324890838664829,2.6497816773296580
91,1.8777419354838711,3,3.974672515994487,5.2995633546593160
220,1.8766448230668413,0,0E-15,1.3248908386648290
180,1.8738949671772434,2,2.649781677329658,3.9746725159944870
150,1.8734653465346531,3,3.974672515994487,5.2995633546593160
235,1.8697597012502039,4,5.299563354659316,6.6244541933241450
253,1.867808715195405,1,1.324890838664829,2.6497816773296580
105,1.8657466063348416,3,3.974672515994487,5.2995633546593160
91,1.8619148936170216,1,1.324890838664829,2.6497816773296580
18,1.86,4,5.299563354659316,6.6244541933241450
123,1.86,1,1.324890838664829,2.6497816773296580
255,1.8583737024221452,0,0E-15,1.3248908386648290
68,1.857019230769231,4,5.299563354659316,6.6244541933241450
180,1.8554570637119105,4,5.299563354659316,6.6244541933241450
206,1.8511713665943599,0,0E-15,1.3248908386648290
71,1.849060022650056,0,0E-15,1.3248908386648290
145,1.84891114920363,1,1.324890838664829,2.6497816773296580
109,1.8474257425742575,0,0E-15,1.3248908386648290
93,1.8466666666666667,4,5.299563354659316,6.6244541933241450
91,1.8455555555555554,2,2.649781677329658,3.9746725159944870
86,1.8400547730829422,0,0E-15,1.3248908386648290
235,1.8339991639113764,1,1.324890838664829,2.6497816773296580
155,1.833220338983051,1,1.324890838664829,2.6497816773296580
22,1.8329493087557605,3,3.974672515994487,5.2995633546593160
133,1.8259999999999998,2,2.649781677329658,3.9746725159944870
220,1.824931506849315,4,5.299563354659316,6.6244541933241450
212,1.8243333333333334,1,1.324890838664829,2.6497816773296580
198,1.8206122448979594,4,5.299563354659316,6.6244541933241450
198,1.8172481040086679,0,0E-15,1.3248908386648290
29,1.8133333333333335,1,1.324890838664829,2.6497816773296580
22,1.8108460076045636,1,1.324890838664829,2.6497816773296580
235,1.8089238336562765,3,3.974672515994487,5.2995633546593160
33,1.8077777777777781,2,2.649781677329658,3.9746725159944870
22,1.8013991769547315,2,2.649781677329658,3.9746725159944870
58,1.8007142857142857,3,3.974672515994487,5.2995633546593160
145,1.7994198129546246,4,5.299563354659316,6.6244541933241450
61,1.795740458015267,1,1.324890838664829,2.6497816773296580
208,1.7920000000000003,2,2.649781677329658,3.9746725159944870
145,1.7907753487617286,0,0E-15,1.3248908386648290
94,1.7900289855072469,0,0E-15,1.3248908386648290
99,1.7850000000000001,1,1.324890838664829,2.6497816773296580
180,1.7828209876543182,0,0E-15,1.3248908386648290
68,1.7785606060606063,3,3.974672515994487,5.2995633546593160
99,1.7755000000000003,0,0E-15,1.3248908386648290
22,1.773202475685233,0,0E-15,1.3248908386648290
245,1.7726092667781201,0,0E-15,1.3248908386648290
33,1.7712780103422803,0,0E-15,1.3248908386648290
129,1.771219512195122,0,0E-15,1.3248908386648290
26,1.7707142857142857,1,1.324890838664829,2.6497816773296580
230,1.77,2,2.649781677329658,3.9746725159944870
150,1.768787878787879,2,2.649781677329658,3.9746725159944870
253,1.7678207150368026,3,3.974672515994487,5.2995633546593160
61,1.767008727053867,0,0E-15,1.3248908386648290
253,1.757700934579439,2,2.649781677329658,3.9746725159944870
245,1.750770975056689,4,5.299563354659316,6.6244541933241450
105,1.747967980295566,0,0E-15,1.3248908386648290
52,1.7468131868131873,0,0E-15,1.3248908386648290
113,1.7434033613445377,4,5.299563354659316,6.6244541933241450
147,1.7374999999999998,3,3.974672515994487,5.2995633546593160
243,1.7358536585365854,1,1.324890838664829,2.6497816773296580
113,1.7350533751962325,0,0E-15,1.3248908386648290
134,1.7343367346938776,0,0E-15,1.3248908386648290
145,1.7332341498559074,3,3.974672515994487,5.2995633546593160
33,1.729878048780488,3,3.974672515994487,5.2995633546593160
243,1.7289999999999999,2,2.649781677329658,3.9746725159944870
105,1.7286400000000002,2,2.649781677329658,3.9746725159944870
145,1.7282205791743694,2,2.649781677329658,3.9746725159944870
180,1.7281572481572476,3,3.974672515994487,5.2995633546593160
22,1.7271861471861472,4,5.299563354659316,6.6244541933241450
172,1.7271315570358043,1,1.324890838664829,2.6497816773296580
60,1.725,3,3.974672515994487,5.2995633546593160
