pickup_zone,avg_trip_distance,bkt_tip_amount,val_start,val_end
85,21.16875,94,25.8133139281003516,28.43685982095248300
78,21.16,85,2.2014008924311690,4.82494678528330040
137,21.12769230769231,103,49.4252269637695342,52.04877285662166560
239,21.121249999999996,94,25.8133139281003516,28.43685982095248300
208,21.09,93,23.1897680352482202,25.81331392810035160
157,21.04,93,23.1897680352482202,25.81331392810035160
34,21.03,85,2.2014008924311690,4.82494678528330040
137,20.869333333333334,98,36.3074974995088772,38.93104339236100860
229,20.859375,96,31.0604057138046144,33.68395160665674580
41,20.843636363636367,107,59.9194105351780598,62.54295642803019120
41,20.823333333333334,114,78.2842317851429796,80.90777767799511100
215,20.76,147,164.8612462492633158,167.48479214211544720
145,20.71,100,41.5545892852131400,44.17813517806527140
117,20.7,104,52.0487728566216656,54.67231874947379700
39,20.695,94,25.8133139281003516,28.43685982095248300
6,20.66,92,20.5662221423960888,23.18976803524822020
18,20.6,89,12.6955844638396946,15.31913035669182600
154,20.539684210526318,94,25.8133139281003516,28.43685982095248300
26,20.52,96,31.0604057138046144,33.68395160665674580
49,20.5,118,88.7784153565515052,91.40196124940363660
122,20.5,91,17.9426762495439574,20.56622214239608880
154,20.353333333333335,160,198.9673428563410240,201.59088874919315540
219,20.3075,93,23.1897680352482202,25.81331392810035160
49,20.3,92,20.5662221423960888,23.18976803524822020
135,20.299999999999997,89,12.6955844638396946,15.31913035669182600
75,20.267500000000002,96,31.0604057138046144,33.68395160665674580
114,20.2,98,36.3074974995088772,38.93104339236100860
57,20.2,88,10.0720385709875632,12.69558446383969460
136,20.186666666666667,99,38.9310433923610086,41.55458928521314000
245,20.185,118,88.7784153565515052,91.40196124940363660
137,20.141052631578948,92,20.5662221423960888,23.18976803524822020
128,20.125,92,20.5662221423960888,23.18976803524822020
23,20.11,89,12.6955844638396946,15.31913035669182600
191,20.1,93,23.1897680352482202,25.81331392810035160
161,20.1,92,20.5662221423960888,23.18976803524822020
36,19.968695652173913,89,12.6955844638396946,15.31913035669182600
154,19.96,111,70.4135941065865854,73.03713999943871680
228,19.96,92,20.5662221423960888,23.18976803524822020
164,19.887999999999998,97,33.6839516066567458,36.30749749950887720
70,19.846428571428568,94,25.8133139281003516,28.43685982095248300
117,19.82,96,31.0604057138046144,33.68395160665674580
137,19.814444444444444,101,44.1781351780652714,46.80168107091740280
251,19.8,113,75.6606858922908482,78.28423178514297960
221,19.8,92,20.5662221423960888,23.18976803524822020
154,19.8,129,117.6374201779249506,120.26096607077708200
113,19.7,95,28.4368598209524830,31.06040571380461440
9,19.7,101,44.1781351780652714,46.80168107091740280
87,19.7,94,25.8133139281003516,28.43685982095248300
137,19.6875,110,67.7900482137344540,70.41359410658658540
239,19.60375,101,44.1781351780652714,46.80168107091740280
192,19.6,89,12.6955844638396946,15.31913035669182600
95,19.5,88,10.0720385709875632,12.69558446383969460
196,19.5,112,73.0371399994387168,75.66068589229084820
245,19.5,102,46.8016810709174028,49.42522696376953420
248,19.375,110,67.7900482137344540,70.41359410658658540
253,19.3,95,28.4368598209524830,31.06040571380461440
253,19.23,97,33.6839516066567458,36.30749749950887720
136,19.223333333333333,100,41.5545892852131400,44.17813517806527140
106,19.19,116,83.5313235708472424,86.15486946369937380
226,19.185714285714287,92,20.5662221423960888,23.18976803524822020
226,19.145,96,31.0604057138046144,33.68395160665674580
97,19.1,90,15.3191303566918260,17.94267624954395740
46,19.09,88,10.0720385709875632,12.69558446383969460
240,19.08,106,57.2958646423259284,59.91941053517805980
50,19.0,86,4.8249467852833004,7.44849267813543180
53,18.986666666666665,89,12.6955844638396946,15.31913035669182600
131,18.94062735986061,90,15.3191303566918260,17.94267624954395740
