pickup_zone,avg_passenger_count,bkt_tip_amount,val_start,val_end
238,2.3333333333333335,86,4.8249467852833004,7.44849267813543180
53,2.3333333333333335,89,12.6955844638396946,15.31913035669182600
70,2.3333333333333335,98,36.3074974995088772,38.93104339236100860
17,2.3333333333333335,86,4.8249467852833004,7.44849267813543180
91,2.3333333333333335,91,17.9426762495439574,20.56622214239608880
38,2.3333333333333335,84,-0.4221450004209624,2.20140089243116900
222,2.3333333333333335,86,4.8249467852833004,7.44849267813543180
39,2.3333333333333335,93,23.1897680352482202,25.81331392810035160
96,2.3333333333333335,95,28.4368598209524830,31.06040571380461440
171,2.3333333333333335,93,23.1897680352482202,25.81331392810035160
75,2.3333333333333335,105,54.6723187494737970,57.29586464232592840
253,2.3333333333333335,98,36.3074974995088772,38.93104339236100860
221,2.3333333333333335,97,33.6839516066567458,36.30749749950887720
256,2.3333333333333335,86,4.8249467852833004,7.44849267813543180
154,2.2857142857142856,110,67.7900482137344540,70.41359410658658540
133,2.2666666666666666,86,4.8249467852833004,7.44849267813543180
45,2.25,91,17.9426762495439574,20.56622214239608880
194,2.25,85,2.2014008924311690,4.82494678528330040
239,2.25,107,59.9194105351780598,62.54295642803019120
103,2.25,86,4.8249467852833004,7.44849267813543180
61,2.25,90,15.3191303566918260,17.94267624954395740
243,2.230769230769231,86,4.8249467852833004,7.44849267813543180
78,2.227272727272727,84,-0.4221450004209624,2.20140089243116900
157,2.2222222222222223,92,20.5662221423960888,23.18976803524822020
30,2.2,90,15.3191303566918260,17.94267624954395740
36,2.2,91,17.9426762495439574,20.56622214239608880
-1,2.2,109,65.1665023208823226,67.79004821373445400
14,2.2,84,-0.4221450004209624,2.20140089243116900
109,2.2,88,10.0720385709875632,12.69558446383969460
15,2.2,95,28.4368598209524830,31.06040571380461440
96,2.1818181818181817,89,12.6955844638396946,15.31913035669182600
15,2.1666666666666665,103,49.4252269637695342,52.04877285662166560
106,2.125,93,23.1897680352482202,25.81331392810035160
