pickup_zone,avg_passenger_count,bkt_tip_percentage,val_start,val_end
116,1.6970542047977473,895,-0.06705895627458830,0.021506713420412160
29,1.696969696969697,895,-0.06705895627458830,0.021506713420412160
253,1.6968803733726356,897,0.11007238311541262,0.198638052810413080
45,1.6964285714285714,899,0.28720372250541354,0.375769392200414000
15,1.6962524654832347,896,0.02150671342041216,0.110072383115412620
127,1.6958762886597938,897,0.11007238311541262,0.198638052810413080
155,1.6956521739130435,896,0.02150671342041216,0.110072383115412620
136,1.695593220338983,898,0.19863805281041308,0.287203722505413540
191,1.6954248366013072,898,0.19863805281041308,0.287203722505413540
198,1.6952380952380952,898,0.19863805281041308,0.287203722505413540
197,1.6938775510204083,896,0.02150671342041216,0.110072383115412620
236,1.6930909090909092,895,-0.06705895627458830,0.021506713420412160
180,1.6926994906621393,896,0.02150671342041216,0.110072383115412620
8,1.6923076923076923,902,0.55290073159041492,0.641466401285415380
131,1.6922621496593178,897,0.11007238311541262,0.198638052810413080
172,1.691689959625538,897,0.11007238311541262,0.198638052810413080
193,1.690909090909091,898,0.19863805281041308,0.287203722505413540
143,1.6904761904761905,900,0.37576939220041400,0.464335061895414460
8,1.689961880559085,898,0.19863805281041308,0.287203722505413540
131,1.6899563318777293,899,0.28720372250541354,0.375769392200414000
126,1.689119170984456,897,0.11007238311541262,0.198638052810413080
259,1.6890756302521008,898,0.19863805281041308,0.287203722505413540
30,1.6886912325285897,895,-0.06705895627458830,0.021506713420412160
65,1.6885885105276839,895,-0.06705895627458830,0.021506713420412160
220,1.688235294117647,897,0.11007238311541262,0.198638052810413080
135,1.6875,896,0.02150671342041216,0.110072383115412620
41,1.686743098453914,898,0.19863805281041308,0.287203722505413540
136,1.6861673348778492,895,-0.06705895627458830,0.021506713420412160
