pickup_zone,avg_total_amount,bkt_tip_amount,val_start,val_end
219,231.755,105,54.6723187494737970,57.29586464232592840
-1,230.7657142857143,104,52.0487728566216656,54.67231874947379700
144,230.3,97,33.6839516066567458,36.30749749950887720
75,230.15,98,36.3074974995088772,38.93104339236100860
248,228.54,104,52.0487728566216656,54.67231874947379700
131,228.0409090909091,107,59.9194105351780598,62.54295642803019120
-1,227.1,168,219.9557099991580752,222.57925589201020660
229,226.72,113,75.6606858922908482,78.28423178514297960
127,225.85,168,219.9557099991580752,222.57925589201020660
219,225.11,98,36.3074974995088772,38.93104339236100860
219,224.08666666666667,99,38.9310433923610086,41.55458928521314000
131,223.88,160,198.9673428563410240,201.59088874919315540
71,222.93,101,44.1781351780652714,46.80168107091740280
235,222.3,141,149.1199708921505274,151.74351678500265880
103,222.05,99,38.9310433923610086,41.55458928521314000
157,220.8,121,96.6490530351078994,99.27259892796003080
210,220.3,168,219.9557099991580752,222.57925589201020660
70,218.7625,101,44.1781351780652714,46.80168107091740280
131,216.2422222222222,105,54.6723187494737970,57.29586464232592840
154,216.09333333333333,160,198.9673428563410240,201.59088874919315540
70,215.34,109,65.1665023208823226,67.79004821373445400
197,214.92,91,17.9426762495439574,20.56622214239608880
131,214.89238095238093,100,41.5545892852131400,44.17813517806527140
41,213.3,160,198.9673428563410240,201.59088874919315540
70,213.16799999999998,99,38.9310433923610086,41.55458928521314000
131,211.85416666666666,106,57.2958646423259284,59.91941053517805980
117,211.8,111,70.4135941065865854,73.03713999943871680
70,211.57000000000002,98,36.3074974995088772,38.93104339236100860
32,210.43,97,33.6839516066567458,36.30749749950887720
72,210.42,100,41.5545892852131400,44.17813517806527140
-1,210.3,163,206.8379805348974182,209.46152642774954960
-1,209.8,162,204.2144346420452868,206.83798053489741820
85,206.34,122,99.2725989279600308,101.89614482081216220
-1,203.8,160,198.9673428563410240,201.59088874919315540
251,203.19,97,33.6839516066567458,36.30749749950887720
74,203.16,97,33.6839516066567458,36.30749749950887720
118,202.54,101,44.1781351780652714,46.80168107091740280
137,201.34,133,128.1316037493334762,130.75514964218560760
32,200.8,143,154.3670626778547902,156.99060857070692160
245,200.38,99,38.9310433923610086,41.55458928521314000
137,200.0,124,104.5196907136642936,107.14323660651642500
6,199.61,96,31.0604057138046144,33.68395160665674580
25,198.96,96,31.0604057138046144,33.68395160665674580
235,198.09,101,44.1781351780652714,46.80168107091740280
148,197.38,89,12.6955844638396946,15.31913035669182600
9,196.74,101,44.1781351780652714,46.80168107091740280
14,196.59,105,54.6723187494737970,57.29586464232592840
154,196.3,148,167.4847921421154472,170.10833803496757860
75,196.3,147,164.8612462492633158,167.48479214211544720
161,196.04,101,44.1781351780652714,46.80168107091740280
55,196.04,101,44.1781351780652714,46.80168107091740280
221,196.01,96,31.0604057138046144,33.68395160665674580
39,195.96,96,31.0604057138046144,33.68395160665674580
135,195.35,101,44.1781351780652714,46.80168107091740280
26,194.86,96,31.0604057138046144,33.68395160665674580
1,194.3,141,149.1199708921505274,151.74351678500265880
154,194.3,152,177.9789757135239728,180.60252160637610420
117,194.3,124,104.5196907136642936,107.14323660651642500
-1,193.8,156,188.4731592849324984,191.09670517778462980
145,193.3,122,99.2725989279600308,101.89614482081216220
239,192.5,154,183.2260674992282356,185.84961339208036700
41,192.3,154,183.2260674992282356,185.84961339208036700
-1,191.65333333333334,100,41.5545892852131400,44.17813517806527140
143,190.7,155,185.8496133920803670,188.47315928493249840
161,190.56,96,31.0604057138046144,33.68395160665674580
117,189.86249999999998,100,41.5545892852131400,44.17813517806527140
131,189.68,120,94.0255071422557680,96.64905303510789940
