pickup_zone,avg_tip_amount,bkt_trip_distance,val_start,val_end
152,1.4568,0,0E-12,2981.0954655035120
139,1.4456521739130435,0,0E-12,2981.0954655035120
65,1.4305485111839278,0,0E-12,2981.0954655035120
26,1.4171153846153846,0,0E-12,2981.0954655035120
240,1.4026279257924719,0,0E-12,2981.0954655035120
230,1.3916363636363636,0,0E-12,2981.0954655035120
227,1.3749981331673913,0,0E-12,2981.0954655035120
213,1.363913043478261,0,0E-12,2981.0954655035120
239,1.3625695725626956,0,0E-12,2981.0954655035120
118,1.3561475409836066,0,0E-12,2981.0954655035120
39,1.3353010049127625,0,0E-12,2981.0954655035120
66,1.3333333333333333,0,0E-12,2981.0954655035120
47,1.2827777777777778,0,0E-12,2981.0954655035120
6,1.2639078022538957,0,0E-12,2981.0954655035120
155,1.2628603104212859,0,0E-12,2981.0954655035120
184,1.2574999999999998,0,0E-12,2981.0954655035120
73,1.2425396825396826,0,0E-12,2981.0954655035120
116,1.238196117951194,0,0E-12,2981.0954655035120
257,1.234032258064516,0,0E-12,2981.0954655035120
203,1.2155882352941179,0,0E-12,2981.0954655035120
55,1.1982899921197794,0,0E-12,2981.0954655035120
37,1.1564999999999999,0,0E-12,2981.0954655035120
72,1.1451641502447882,0,0E-12,2981.0954655035120
130,1.1350000000000002,0,0E-12,2981.0954655035120
93,1.1348051948051947,0,0E-12,2981.0954655035120
177,1.1266666666666667,0,0E-12,2981.0954655035120
125,1.116,0,0E-12,2981.0954655035120
46,1.0909933774834435,0,0E-12,2981.0954655035120
242,1.04475,0,0E-12,2981.0954655035120
162,1.0413690476190476,0,0E-12,2981.0954655035120
238,1.0134313725490196,0,0E-12,2981.0954655035120
161,1.009658666666667,0,0E-12,2981.0954655035120
181,0.9800970873786408,0,0E-12,2981.0954655035120
79,0.9799050632911392,0,0E-12,2981.0954655035120
135,0.9699533799533799,0,0E-12,2981.0954655035120
234,0.9691666666666667,0,0E-12,2981.0954655035120
29,0.9685714285714287,0,0E-12,2981.0954655035120
188,0.9594495412844037,0,0E-12,2981.0954655035120
144,0.9586122448979592,0,0E-12,2981.0954655035120
237,0.9417218543046357,0,0E-12,2981.0954655035120
194,0.9388990825688073,0,0E-12,2981.0954655035120
259,0.9133801365451505,0,0E-12,2981.0954655035120
244,0.905,0,0E-12,2981.0954655035120
249,0.8819148936170214,0,0E-12,2981.0954655035120
147,0.8405555555555556,0,0E-12,2981.0954655035120
