pickup_zone,avg_passenger_count,bkt_total_amount,val_start,val_end
113,2.0714285714285716,28,61.1585031430764,97.57130682675770
152,2.04,27,24.7456994593951,61.15850314307640
5,2.0,35,316.0481289288455,352.46093261252680
116,2.0,31,170.3969141941203,206.80971787780160
78,2.0,29,97.5713068267577,133.98411051043900
88,2.0,34,279.6353252451642,316.04812892884550
142,2.0,29,97.5713068267577,133.98411051043900
19,2.0,28,61.1585031430764,97.57130682675770
183,2.0,34,279.6353252451642,316.04812892884550
5,2.0,37,388.8737362962081,425.28653997988940
239,2.0,53,971.4785952351089,1007.89139891879020
137,2.0,36,352.4609326125268,388.87373629620810
14,2.0,33,243.2225215614829,279.63532524516420
13,2.0,29,97.5713068267577,133.98411051043900
47,2.0,29,97.5713068267577,133.98411051043900
251,2.0,28,61.1585031430764,97.57130682675770
45,2.0,39,461.6993436635707,498.11214734725200
239,2.0,39,461.6993436635707,498.11214734725200
178,2.0,41,534.5249510309333,570.93775471461460
137,2.0,34,279.6353252451642,316.04812892884550
239,2.0,43,607.3505583982959,643.76336208197720
161,2.0,33,243.2225215614829,279.63532524516420
16,2.0,28,61.1585031430764,97.57130682675770
137,2.0,39,461.6993436635707,498.11214734725200
109,2.0,38,425.2865399798894,461.69934366357070
50,2.0,29,97.5713068267577,133.98411051043900
180,2.0,29,97.5713068267577,133.98411051043900
31,2.0,37,388.8737362962081,425.28653997988940
123,2.0,26,-11.6671042242862,24.74569945939510
245,2.0,37,388.8737362962081,425.28653997988940
193,2.0,29,97.5713068267577,133.98411051043900
135,2.0,29,97.5713068267577,133.98411051043900
229,2.0,35,316.0481289288455,352.46093261252680
154,2.0,38,425.2865399798894,461.69934366357070
4,2.0,26,-11.6671042242862,24.74569945939510
70,2.0,58,1153.5426136535154,1189.95541733719670
71,2.0,36,352.4609326125268,388.87373629620810
5,2.0,40,498.1121473472520,534.52495103093330
219,2.0,38,425.2865399798894,461.69934366357070
72,2.0,35,316.0481289288455,352.46093261252680
41,2.0,44,643.7633620819772,680.17616576565850
128,2.0,32,206.8097178778016,243.22252156148290
60,2.0,26,-11.6671042242862,24.74569945939510
-1,2.0,50,862.2401841840650,898.65298786774630
86,2.0,29,97.5713068267577,133.98411051043900
